imonth,iday,nwound,nkill
7,7,8,8
7,8,0,1
7,13,6,6
7,16,0,0
7,19,0,4
7,19,0,2
7,22,0,1
7,25,0,3
7,25,1,2
7,27,2,2
7,28,0,0
7,28,3,1
7,29,0,4
7,30,6,1
7,30,1,1
7,29,0,2
7,29,0,2
7,30,2,1
7,30,0,0
7,30,1,1
8,1,0,0
8,1,0,0
8,3,5,1
8,4,0,0
8,5,7,10
8,5,0,1
8,5,0,1
8,5,0,10
8,6,0,19
8,6,0,1
8,9,1,0
8,12,0,2
8,14,0,2
8,15,3,2
8,15,0,2
8,15,0,0
8,16,0,1
8,19,3,0
8,20,0,0
8,21,0,1
8,21,0,1
8,21,0,2
8,22,0,0
8,25,0,2
8,28,0,1
8,31,3,0
9,2,0,2
9,2,0,1
9,2,0,0
9,4,0,2
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,0
9,5,0,0
9,5,0,1
9,5,0,1
9,5,0,0
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,1
9,5,0,0
9,5,0,1
9,5,0,4
9,5,0,0
9,5,0,7
9,6,0,3
9,6,0,3
9,6,0,3
9,6,0,2
9,6,0,2
9,6,0,2
9,6,0,0
9,16,0,4
9,17,0,1
9,17,0,1
9,20,0,1
9,23,48,3
9,29,0,2
10,1,4,1
10,2,0,25
10,8,2,0
10,9,0,2
10,10,1,2
10,14,1,1
10,15,0,0
10,18,0,0
10,18,0,0
10,18,0,0
10,19,0,1
10,20,0,2
10,20,0,7
10,19,0,11
10,18,0,0
10,19,0,12
10,21,0,0
10,23,0,4
10,25,2,1
10,26,0,1
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,24,0,0
10,28,100,3
10,28,7,4
10,30,0,0
10,30,0,0
10,30,0,0
10,30,0,0
10,31,0,3
11,2,0,2
11,4,0,2
11,4,0,0
11,4,0,0
11,4,0,0
11,7,0,0
11,9,0,3
11,9,0,0
11,9,0,0
11,9,0,0
11,9,0,0
11,13,0,1
11,13,2,1
11,14,0,1
11,17,2,1
11,18,0,1
11,22,0,3
11,25,6,16
11,25,5,16
11,25,0,2
11,26,0,2
11,28,0,5
11,28,0,0
11,28,0,0
11,28,0,0
11,28,0,0
12,2,0,0
12,2,0,0
12,2,0,0
12,2,0,0
12,2,0,0
12,2,0,0
12,1,0,10
12,2,0,0
12,2,0,0
12,6,0,0
12,10,0,2
12,10,0,7
12,10,0,0
12,10,0,7
12,10,0,0
12,10,0,0
12,15,0,4
12,22,1,1
12,22,0,1
12,25,4,6
12,25,0,6
12,27,0,3
12,28,0,15
12,28,0,1
12,28,0,0
12,28,0,0
12,28,0,0
12,28,0,1
1,1,2,14
1,2,0,7
1,3,2,4
1,3,0,0
1,3,0,0
1,5,0,0
1,7,0,3
1,11,0,1
1,14,4,2
1,14,2,1
1,15,0,2
1,16,0,1
1,17,0,4
1,18,3,2
1,19,14,6
1,19,1,1
1,21,0,18
1,22,0,0
1,23,0,2
1,23,0,2
1,23,0,1
1,27,5,8
1,31,0,2
1,31,0,3
1,31,0,0
1,31,0,0
1,31,1,2
2,1,1,2
2,1,1,0
2,5,0,6
2,8,0,9
2,8,3,3
2,9,0,3
2,12,0,0
2,12,1,0
2,12,1,3
2,15,1,2
2,19,0,0
2,20,2,3
2,21,6,2
2,21,0,2
2,22,7,5
2,22,0,15
2,23,0,6
2,25,0,1
2,26,1,7
2,27,0,2
2,28,1,1
2,28,1,1
2,28,1,1
2,28,1,0
3,3,0,20
3,4,0,5
3,4,0,4
3,8,0,0
3,8,0,0
3,8,0,0
3,8,0,0
3,8,0,0
3,8,0,0
3,8,0,0
3,10,2,4
3,11,5,4
3,11,0,1
3,11,0,1
3,12,4,0
3,16,1,0
3,16,0,2
3,18,75,39
3,18,3,1
3,18,1,1
3,18,3,3
3,19,3,3
3,22,0,25
3,23,3,2
3,23,0,0
3,23,0,0
3,23,0,0
3,25,0,1
3,25,0,0
3,25,0,0
3,26,0,4
3,27,0,0
3,29,0,2
3,31,0,1
4,2,0,1
4,4,0,0
4,6,0,11
4,7,0,0
4,8,0,0
4,11,0,9
4,13,0,0
4,16,0,2
4,16,0,1
4,17,0,1
4,19,0,3
4,21,0,20
4,25,0,3
4,25,0,4
4,25,0,17
4,25,4,1
4,25,0,25
4,28,0,3
4,28,0,0
4,28,0,2
5,2,0,0
5,3,0,0
5,4,0,4
5,5,12,10
5,7,0,16
5,7,0,19
5,7,0,18
5,7,0,18
5,7,0,0
5,12,0,0
5,13,0,15
5,15,0,1
5,16,1,2
5,16,0,1
5,16,0,1
5,16,0,1
5,16,0,1
5,16,0,1
5,23,0,3
5,30,0,0
5,30,0,2
5,30,0,1
6,2,0,0
6,3,0,1
6,7,0,0
6,7,0,19
6,14,0,5
6,16,7,11
6,16,3,2
6,17,0,9
6,17,0,13
6,17,0,1
6,19,0,6
6,25,1,0
6,28,0,25
6,30,0,2
7,6,4,46
7,15,2,0
7,16,0,2
7,22,2,2
7,22,3,1
7,27,30,25
7,29,2,12
7,29,1,12
8,4,2,18
8,4,0,17
8,8,0,0
8,10,0,12
8,11,26,44
8,15,0,4
8,15,0,4
8,15,0,3
8,17,0,0
8,19,14,35
8,19,1,3
8,21,8,4
8,21,3,9
8,25,6,18
8,27,0,6
8,30,0,24
9,1,0,17
9,4,0,15
9,5,0,5
9,5,0,8
9,8,17,17
9,11,1,2
9,17,0,142
9,18,0,0
9,18,0,0
9,19,0,20
9,25,4,6
9,26,0,3
9,26,2,21
9,28,0,11
9,28,0,4
9,29,18,40
9,29,0,7
10,2,3,1
10,6,0,13
10,6,0,7
10,6,0,1
10,6,0,1
10,6,0,1
10,13,0,14
10,13,0,13
10,13,0,13
10,20,0,19
10,21,0,5
10,21,0,5
10,22,12,18
10,24,0,21
10,24,0,21
10,24,0,21
10,24,0,21
10,24,0,21
10,24,0,20
10,25,2,1
10,27,0,4
10,31,12,27
11,2,0,30
11,2,0,13
11,13,0,0
11,11,0,5
11,11,0,5
11,11,0,4
11,11,0,4
11,11,0,4
11,11,0,4
11,15,0,0
11,24,0,12
11,24,0,0
11,24,0,0
11,27,0,1
11,28,0,19
11,30,15,7
12,2,0,26
12,2,0,0
12,2,0,4
12,2,0,0
12,2,0,0
12,2,0,0
12,2,0,0
12,8,0,5
12,11,0,9
12,9,0,0
12,14,0,4
12,18,0,10
12,20,0,70
12,28,0,12
1,7,12,3
1,8,0,9
1,8,0,0
1,9,2,39
1,12,0,5
1,12,0,8
1,14,5,18
1,14,0,5
1,15,0,6
1,16,0,7
1,19,0,19
1,20,1,1
1,21,5,10
1,22,0,8
1,22,0,0
1,22,0,0
1,24,0,0
1,27,50,52
1,26,0,22
1,30,1,0
1,31,3,7
1,31,0,11
2,1,0,3
2,4,5,19
2,5,2,0
2,5,0,3
2,10,0,0
2,10,0,0
2,10,0,0
2,10,0,0
2,10,0,0
2,10,0,0
2,10,0,0
2,11,0,39
2,11,6,4
2,11,0,7
2,12,0,9
2,13,0,0
2,15,0,106
2,15,0,10
2,15,0,0
2,17,0,11
2,18,0,1
2,19,0,96
2,20,0,0
2,23,1,4
2,23,0,2
2,23,0,0
2,25,0,59
2,27,0,8
2,27,0,20
2,27,0,12
3,1,0,18
3,1,0,17
3,1,0,39
3,2,0,32
3,3,0,3
3,2,0,0
3,2,0,0
3,3,0,45
3,12,3,11
3,6,5,7
3,7,0,0
3,7,0,0
3,7,0,17
3,10,0,5
3,13,0,1
3,13,0,3
3,14,0,212
3,16,0,2
3,17,1,9
3,20,0,32
3,21,0,2
3,25,0,4
3,25,0,8
3,29,7,4
3,30,2,21
3,30,0,0
4,1,17,19
4,2,0,4
4,3,0,14
4,3,0,8
4,4,0,0
4,5,0,4
4,5,0,4
4,5,0,3
4,5,0,7
4,9,5,2
4,10,0,8
4,10,0,60
4,11,0,8
4,12,0,30
4,13,0,60
4,13,0,8
4,13,2,3
4,14,124,71
4,14,0,8
4,14,1,1
4,15,0,2
4,16,0,18
4,20,0,0
4,20,0,0
4,20,0,0
4,20,0,0
4,20,0,0
4,21,0,2
4,22,0,5
4,22,0,0
4,28,0,0
4,28,0,8
5,1,66,19
5,1,0,10
5,1,0,0
5,2,0,0
5,2,0,0
5,2,0,0
5,3,0,6
5,4,0,0
5,4,0,0
5,5,2,2
5,5,0,315
5,5,0,0
5,5,0,0
5,6,0,0
5,6,1,0
5,9,0,56
5,11,0,0
5,8,0,30
5,11,0,1
5,11,0,0
5,11,0,0
5,12,3,3
5,13,0,10
5,13,0,60
5,13,0,200
5,13,0,151
5,14,0,4
5,14,9,2
5,15,0,0
5,16,0,0
5,17,1,0
5,17,0,0
5,17,6,101
5,17,0,40
5,17,0,29
5,18,5,5
5,20,23,59
5,20,22,59
5,20,0,19
5,21,0,10
5,21,0,19
5,21,24,25
5,22,0,20
5,22,0,2
5,23,0,8
5,23,0,25
5,23,0,0
5,23,0,0
5,23,0,0
5,24,0,0
5,25,0,24
5,25,0,20
5,26,0,3
5,26,0,3
5,26,0,3
5,26,0,3
5,26,0,5
5,26,0,4
5,26,0,3
5,26,0,3
5,26,0,3
5,26,0,3
5,28,13,5
5,28,0,4
5,28,0,26
5,28,0,8
5,30,0,3
5,31,6,14
5,31,5,14
5,31,5,14
5,29,0,0
6,1,0,40
6,1,0,13
6,2,0,4
6,1,0,0
6,3,0,100
6,3,0,100
6,3,0,100
6,3,0,100
6,4,0,45
6,4,0,0
6,5,0,1
6,5,0,0
6,5,0,0
6,5,0,0
6,6,0,61
6,7,0,2
6,7,4,51
6,8,1,2
6,9,0,3
6,9,0,2
6,10,0,5
6,10,0,0
6,11,0,0
6,15,24,15
6,15,0,0
6,15,0,0
6,15,0,0
6,15,0,0
6,16,0,8
6,17,27,21
6,19,0,2
6,19,0,2
6,19,0,2
6,19,0,2
6,19,0,3
6,19,0,9
6,20,0,1
6,19,0,2
6,21,11,12
6,21,0,0
6,21,0,2
6,21,0,1
6,21,0,1
6,22,3,4
6,23,12,8
6,24,0,40
6,25,51,23
6,25,1,5
6,27,0,0
6,27,28,11
6,27,0,7
6,29,0,9
6,29,0,9
6,29,0,9
6,29,0,9
6,30,0,0
6,30,0,1
7,1,69,56
7,1,2,0
7,2,0,0
7,3,0,3
7,4,7,15
7,4,0,59
7,4,24,6
7,6,0,4
7,6,0,4
7,6,0,4
7,8,4,1
7,8,0,0
7,9,7,3
7,8,0,2
7,11,1,0
7,13,1,0
7,14,0,0
7,14,38,57
7,15,0,20
7,15,0,9
7,16,0,0
7,16,0,7
7,16,0,0
7,18,0,100
7,19,0,6
7,19,0,0
7,19,0,0
7,19,0,29
7,19,0,5
7,21,0,0
7,22,0,5
7,23,0,0
7,23,14,26
7,23,2,14
7,23,0,0
